trip_distance,passenger_count,PULocationID,DOLocationID,fare_amount,hour_of_day,is_weekend,trip_duration_min,day_of_month
2.69,2.0,137,229,9.0,9,0,5.033333333333333,20
6.3,1.0,238,127,19.0,5,0,11.3,14
6.6,1.0,239,13,28.0,8,0,33.666666666666664,30
1.6,1.0,229,164,7.5,11,0,7.033333333333333,10
2.98,6.0,140,100,13.0,17,0,15.083333333333334,30
0.3,1.0,186,68,4.0,17,0,2.6166666666666667,14
1.86,1.0,186,142,7.5,23,0,5.733333333333333,17
1.76,3.0,229,263,7.5,18,1,5.733333333333333,12
5.52,3.0,170,7,19.0,10,0,18.483333333333334,6
1.42,1.0,166,41,11.0,23,0,14.316666666666666,21
1.96,1.0,144,137,8.5,14,0,8.333333333333334,10
0.93,1.0,107,170,5.5,22,0,4.433333333333334,22
12.56,3.0,164,67,37.5,14,0,32.35,15
1.1,1.0,236,140,6.5,15,1,6.683333333333334,25
0.58,1.0,107,107,4.0,11,0,3.1333333333333333,24
1.4,1.0,229,137,6.0,7,0,3.8833333333333333,22
2.32,1.0,230,236,11.0,9,0,11.75,2
2.09,1.0,68,161,9.0,12,0,8.833333333333334,28
2.79,1.0,224,140,10.5,10,0,8.35,17
3.92,1.0,92,208,75.0,0,0,4.25,27
4.8,1.0,263,263,21.5,14,0,29.45,8
1.16,2.0,238,236,6.0,8,0,4.516666666666667,20
0.9,1.0,238,166,4.5,7,0,2.0833333333333335,6
1.1,1.0,263,75,5.5,22,1,4.3,18
1.86,1.0,170,140,7.0,22,0,3.9166666666666665,30
2.7,5.0,238,162,11.5,8,0,11.683333333333334,1
2.53,1.0,141,164,10.0,8,0,9.883333333333333,30
0.71,1.0,166,24,5.0,11,1,3.3333333333333335,5
2.6,1.0,186,140,11.0,5,0,12.15,23
0.7,2.0,161,170,5.0,12,0,3.75,14
2.3,2.0,166,75,9.5,12,0,9.616666666666667,24
3.3,1.0,79,140,10.5,7,0,9.1,7
1.62,5.0,100,237,7.0,8,0,5.9,24
0.83,1.0,140,140,5.0,15,0,3.4833333333333334,16
0.63,6.0,148,79,5.0,12,0,3.8,21
0.6,1.0,100,50,4.0,5,0,2.283333333333333,16
1.38,1.0,163,48,8.5,18,0,10.25,24
3.4,1.0,264,264,14.0,8,0,15.15,29
1.23,6.0,90,114,6.0,11,1,5.033333333333333,5
0.98,1.0,263,140,6.0,13,1,4.95,11
3.16,1.0,17,97,12.0,21,0,13.116666666666667,1
2.0,1.0,238,42,9.5,13,1,9.666666666666666,26
2.54,1.0,239,140,11.0,5,0,11.85,28
2.3,2.0,79,256,9.5,20,0,7.616666666666666,8
1.3,1.0,68,170,7.5,9,0,8.366666666666667,29
4.21,1.0,262,79,13.5,11,0,12.566666666666666,10
4.36,1.0,161,261,14.5,14,0,13.383333333333333,15
1.3,1.0,186,230,5.5,6,0,3.783333333333333,15
0.89,1.0,50,142,5.0,19,0,3.05,3
0.8,1.0,74,75,5.0,20,0,4.483333333333333,14
0.77,1.0,107,114,5.0,18,1,3.4166666666666665,26
11.6,1.0,141,28,32.0,0,1,18.766666666666666,11
0.79,1.0,234,113,4.5,13,1,2.05,25
0.4,1.0,143,239,3.5,6,0,1.45,27
2.6,1.0,142,75,10.0,7,0,8.6,7
1.4,1.0,74,41,7.5,8,0,7.716666666666667,6
6.69,1.0,166,107,24.5,18,1,25.5,11
1.4,1.0,263,237,6.0,8,0,4.433333333333334,13
1.4,1.0,161,141,6.5,11,0,5.4,7
3.7,1.0,166,161,14.0,10,0,14.0,10
1.4,1.0,229,48,7.5,14,0,6.8,6
1.43,1.0,140,162,7.5,13,0,6.866666666666666,3
0.85,1.0,151,41,4.5,18,0,2.7,10
5.7,1.0,75,235,17.5,16,0,13.183333333333334,21
3.99,6.0,68,238,13.5,7,0,11.566666666666666,3
3.44,1.0,164,239,12.5,16,0,11.65,24
2.5,1.0,75,140,12.0,15,0,16.966666666666665,23
2.7,1.0,249,142,10.5,10,0,9.15,14
0.96,1.0,137,233,5.0,8,0,3.466666666666667,13
0.6,2.0,236,236,4.5,13,0,2.6666666666666665,27
4.41,2.0,237,112,15.5,16,0,15.716666666666667,7
4.87,1.0,48,88,17.5,14,0,16.45,22
3.27,1.0,229,74,10.5,9,0,7.516666666666667,22
1.15,1.0,48,164,5.0,6,0,2.8833333333333333,7
1.65,1.0,141,142,9.0,9,1,9.6,5
2.9,1.0,231,137,12.0,8,0,12.233333333333333,8
2.97,1.0,229,224,11.0,14,0,8.533333333333333,10
4.1,1.0,170,238,14.0,15,0,12.566666666666666,23
2.57,1.0,79,87,10.5,17,0,10.5,23
2.8,1.0,229,148,10.0,10,0,8.05,10
19.07,1.0,186,81,52.5,8,0,32.71666666666667,29
0.66,1.0,170,186,4.5,9,0,3.6333333333333333,30
2.2,1.0,230,238,9.5,10,0,9.433333333333334,14
4.82,1.0,137,151,15.5,20,1,14.133333333333333,12
1.12,3.0,254,3,6.0,19,1,4.516666666666667,4
3.76,1.0,48,263,13.5,17,0,12.416666666666666,1
1.1,1.0,262,140,5.0,9,0,2.9166666666666665,9
3.2,1.0,262,233,10.5,6,0,5.733333333333333,14
1.5,1.0,141,236,6.5,20,0,4.933333333333334,16
3.56,1.0,75,47,12.0,5,0,11.833333333333334,1
2.79,1.0,74,237,10.5,17,0,10.3,10
1.9,1.0,151,263,9.0,13,1,8.85,25
0.99,1.0,90,234,5.5,14,0,4.65,21
5.52,2.0,151,47,19.5,13,0,21.483333333333334,13
0.5,1.0,238,238,4.0,14,0,2.3833333333333333,22
2.3,1.0,48,107,9.5,9,0,9.85,24
3.0,2.0,141,48,12.0,19,0,12.35,24
1.12,1.0,162,100,6.0,14,0,5.75,24
1.2,1.0,48,68,5.5,18,0,3.6333333333333333,10
0.41,2.0,170,170,3.5,17,0,1.5833333333333333,14
8.12,1.0,142,143,33.5,12,0,43.93333333333333,6
6.78,1.0,48,244,21.0,11,0,15.066666666666666,6
1.04,6.0,48,161,5.0,9,0,3.533333333333333,3
1.79,2.0,151,41,8.5,10,1,8.133333333333333,25
1.3,1.0,142,142,12.5,7,0,18.9,10
0.2,4.0,263,262,3.5,16,0,2.316666666666667,30
12.8,1.0,246,174,37.5,22,0,27.616666666666667,3
1.3,1.0,236,238,7.0,21,0,5.866666666666666,10
0.6,1.0,100,170,4.5,15,0,3.7666666666666666,6
1.1,1.0,142,163,6.5,10,0,6.066666666666666,23
0.73,1.0,90,107,4.5,12,0,3.066666666666667,3
6.34,1.0,186,41,21.5,6,0,18.933333333333334,14
6.3,1.0,107,166,21.0,20,1,21.966666666666665,19
9.83,1.0,137,213,28.5,17,0,18.666666666666668,6
0.9,1.0,170,161,5.0,8,0,3.566666666666667,21
1.3,1.0,50,142,6.5,7,0,5.266666666666667,6
16.04,1.0,132,265,63.0,20,1,21.716666666666665,12
1.63,1.0,161,137,7.5,12,0,25.6,10
13.13,1.0,140,216,38.0,19,1,24.566666666666666,5
1.58,1.0,244,116,8.5,15,0,9.066666666666666,14
1.76,1.0,142,161,9.5,12,0,10.933333333333334,14
1.3,1.0,151,75,7.0,9,1,5.9,26
0.6,1.0,68,186,4.5,17,0,3.716666666666667,16
0.85,1.0,48,48,5.5,21,0,5.516666666666667,15
2.64,1.0,107,140,9.5,9,0,7.75,15
1.1,1.0,247,168,7.0,9,0,7.133333333333334,3
3.7,1.0,68,262,13.5,23,0,13.6,2
0.9,1.0,74,74,4.5,12,0,3.566666666666667,6
2.8,1.0,95,121,11.0,20,1,9.666666666666666,5
0.3,1.0,143,142,4.5,14,0,3.8,7
1.47,1.0,142,238,6.5,12,0,4.783333333333333,9
0.92,1.0,234,113,5.0,13,0,2.7333333333333334,2
1.85,1.0,74,236,7.0,9,0,5.266666666666667,9
5.8,1.0,140,129,24.0,8,0,28.566666666666666,9
0.99,1.0,263,75,5.5,11,0,4.35,10
0.91,1.0,74,74,5.0,23,0,3.2666666666666666,24
0.9,1.0,229,137,4.5,16,0,2.1666666666666665,3
0.8,1.0,107,79,5.5,10,0,4.7,21
0.95,1.0,75,41,6.0,10,0,7.3,2
2.0,1.0,140,142,10.0,8,0,10.65,13
0.87,1.0,137,125,5.0,16,0,4.466666666666667,22
0.9,1.0,113,90,5.5,16,0,5.35,30
0.94,1.0,238,239,5.5,10,0,4.95,7
1.42,1.0,262,140,6.5,6,0,6.183333333333334,23
0.99,2.0,164,90,5.5,16,0,3.9833333333333334,16
1.8,1.0,141,239,8.0,21,1,7.883333333333334,25
2.0,1.0,48,237,9.0,17,0,8.05,28
1.44,1.0,151,263,7.0,7,1,5.883333333333334,25
1.77,2.0,166,74,9.0,8,1,9.133333333333333,5
1.01,1.0,137,137,5.5,22,0,5.166666666666667,29
1.9,2.0,230,137,8.5,14,0,9.133333333333333,28
1.69,2.0,25,25,7.0,15,0,9.1,15
1.7,2.0,75,42,7.0,14,0,5.233333333333333,22
1.61,2.0,48,68,7.5,8,0,6.333333333333333,20
1.88,5.0,142,238,8.0,12,0,6.85,6
0.8,1.0,43,143,6.0,16,0,5.783333333333333,23
4.0,1.0,262,164,15.0,13,0,16.033333333333335,24
1.86,1.0,137,141,7.0,0,0,4.233333333333333,23
0.99,1.0,79,137,5.0,6,0,2.433333333333333,21
6.08,1.0,138,74,19.0,12,1,12.483333333333333,26
12.22,1.0,76,100,42.0,16,0,47.516666666666666,3
0.6,1.0,263,141,4.0,8,0,1.9333333333333333,30
0.75,1.0,48,48,4.5,20,0,2.55,3
1.3,1.0,141,163,7.0,13,0,6.216666666666667,20
0.7,1.0,239,142,5.0,11,1,3.6333333333333333,26
5.2,1.0,151,137,18.0,20,0,18.35,1
2.6,1.0,238,237,10.5,15,1,10.816666666666666,26
0.4,1.0,236,236,3.5,11,0,2.2666666666666666,17
1.33,1.0,100,90,6.0,8,0,4.066666666666666,30
1.0,1.0,231,261,6.5,18,1,7.2,5
6.61,1.0,100,42,21.5,2,1,18.75,25
2.0,1.0,238,74,9.5,13,0,10.116666666666667,23
0.86,1.0,236,75,5.0,11,0,3.3,15
5.2,1.0,239,7,18.0,18,0,18.333333333333332,20
1.02,1.0,142,143,5.5,15,0,6.466666666666667,27
1.8,1.0,151,116,8.5,18,1,8.3,25
0.8,1.0,237,162,4.5,9,0,2.6333333333333333,30
1.0,1.0,163,142,6.0,9,1,5.05,12
4.34,2.0,113,262,15.0,13,0,15.416666666666666,29
2.2,2.0,48,137,10.0,8,0,10.95,15
0.6,1.0,262,263,4.0,6,0,2.4,27
1.36,3.0,143,238,6.0,9,0,4.45,21
3.8,1.0,151,162,14.0,18,0,13.183333333333334,22
5.48,1.0,143,244,17.0,7,0,10.533333333333333,8
4.53,1.0,75,226,14.0,7,1,10.383333333333333,18
1.63,1.0,163,239,8.5,11,0,10.75,1
0.7,1.0,262,263,5.0,13,0,3.75,22
1.63,1.0,163,246,7.0,17,0,6.233333333333333,28
0.66,1.0,233,161,4.5,12,0,2.716666666666667,23
5.8,2.0,163,41,20.5,15,0,19.2,20
2.09,1.0,75,239,9.5,18,0,9.85,14
7.7,1.0,170,244,23.0,22,1,15.233333333333333,25
2.1,1.0,186,79,9.0,8,0,8.666666666666666,16
0.89,1.0,161,48,6.0,9,0,5.416666666666667,20
1.2,1.0,48,161,6.5,7,0,7.016666666666667,2
4.12,1.0,163,166,15.0,15,0,17.083333333333332,20
1.8,1.0,142,50,8.5,16,0,9.516666666666667,14
2.82,2.0,186,237,13.0,6,0,14.5,3
5.82,2.0,137,66,18.0,20,0,12.833333333333334,30
2.54,4.0,238,48,11.0,15,0,10.6,1
12.13,2.0,198,50,38.5,23,0,37.15,3
1.17,1.0,137,186,7.0,19,0,7.133333333333334,16
1.4,1.0,263,237,7.5,10,0,7.233333333333333,20
