trip_distance,passenger_count,PULocationID,DOLocationID,fare_amount,hour_of_day,is_weekend,trip_duration_min,day_of_month
1.1,1.0,148,249,8.5,21,1,11.55,11
3.43,1.0,138,260,11.5,15,0,8.416666666666666,28
0.85,1.0,114,211,5.5,23,0,5.816666666666666,10
1.28,1.0,230,90,6.5,6,0,5.7,14
2.29,1.0,68,148,12.0,14,0,17.0,9
3.0,2.0,233,239,12.0,16,1,14.016666666666667,26
0.7,1.0,148,211,5.0,1,0,4.766666666666667,22
1.6,1.0,161,236,8.5,7,0,9.066666666666666,16
1.2,1.0,142,237,8.0,14,0,10.4,10
4.27,1.0,234,238,18.5,17,0,25.766666666666666,24
1.31,1.0,249,125,7.0,21,0,8.216666666666667,23
4.0,1.0,236,224,14.5,11,0,13.35,13
4.65,5.0,125,142,17.5,20,0,19.083333333333332,29
1.2,1.0,230,170,9.0,22,1,12.566666666666666,25
4.44,2.0,239,158,16.5,19,0,17.166666666666668,13
1.3,2.0,236,237,8.5,21,0,10.216666666666667,31
0.51,2.0,144,144,5.0,15,1,4.866666666666666,25
0.59,1.0,48,50,4.5,17,0,4.166666666666667,9
7.2,1.0,230,33,24.0,21,0,25.366666666666667,15
0.8,1.0,229,161,8.0,9,0,11.45,30
1.07,2.0,142,239,6.0,23,1,5.533333333333333,4
0.92,1.0,141,229,6.0,19,0,6.016666666666667,27
1.75,2.0,79,90,9.0,0,0,9.95,21
1.68,1.0,138,223,6.5,16,1,3.8833333333333333,12
0.7,1.0,161,48,4.5,17,0,3.6333333333333333,20
0.86,3.0,68,100,7.0,16,0,8.2,2
2.3,2.0,238,163,11.0,15,1,14.166666666666666,11
4.19,1.0,234,239,16.0,22,0,17.8,8
2.0,2.0,140,142,10.5,15,0,12.166666666666666,31
7.77,2.0,170,42,25.0,19,0,23.25,15
1.94,3.0,237,161,8.5,7,0,8.466666666666667,14
0.7,1.0,142,239,5.0,8,0,3.6,15
0.6,1.0,161,230,5.0,6,0,4.416666666666667,21
8.24,1.0,144,166,25.5,4,1,19.566666666666666,19
0.43,1.0,161,161,3.5,10,0,2.5833333333333335,7
0.85,3.0,236,263,6.5,14,1,7.233333333333333,5
2.9,1.0,79,229,10.0,3,1,8.416666666666666,12
6.1,1.0,113,179,21.0,1,1,22.25,11
1.0,1.0,230,162,7.0,11,0,8.45,8
1.0,1.0,238,166,6.0,7,0,5.55,24
4.24,1.0,68,33,15.0,22,1,16.2,25
4.3,1.0,87,113,17.0,13,0,18.6,20
0.88,1.0,229,233,6.0,8,0,6.233333333333333,28
0.5,1.0,164,170,5.0,13,0,4.683333333333334,31
1.18,1.0,68,234,9.5,10,0,13.966666666666667,21
13.42,1.0,161,58,38.5,21,0,31.083333333333332,8
4.6,1.0,52,113,16.5,7,1,16.883333333333333,18
